,batsman,innings,runs,batting_team,ball,dismissals,sixes,fours,dots,ones,twos,threes,hundreds,fifties,thirties,highest_score,matches_x,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,surname,initial
100,Sune Luus,78,1711.0,South Africa,1643,71,26,161,602,688,104,5,4.0,4.0,10.0,142.0,78,78,104.13877054169203,23.140845070422536,8.786096256684491,65.11794138670479,24.098591549295776,36.64029214850883,2013/14,2023/24,Luus,S Luus
101,Smriti Mandhana,118,4479.0,India,3684,144,96,609,1506,1154,143,9,11.0,25.0,13.0,172.0,118,118,121.57980456026058,25.583333333333332,5.225531914893617,52.169274537695586,31.104166666666668,40.87947882736157,2013/14,2024,Mandhana,S Mandhana
102,Sophie Molineux,8,76.0,Australia,88,11,0,7,36,40,4,0,0.0,0.0,0.0,22.0,8,8,86.36363636363636,8.0,12.571428571428571,60.0,6.909090909090909,40.909090909090914,2017/18,2023/24,Molineux,S Molineux
103,Sobhana Mostary,31,345.0,Bangladesh,470,28,3,39,246,130,13,5,0.0,0.0,1.0,30.0,31,31,73.40425531914893,16.785714285714285,11.19047619047619,43.401015228426395,12.321428571428571,52.34042553191489,2019/20,2024,Mostary,S Mostary
104,Sachini Nisansala,1,0.0,Sri Lanka,1,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1,1,0.0,1.0,1.0,0.0,0.0,100.0,2024,2024,Nisansala,S Nisansala
105,Shathi Rani,5,50.0,Bangladesh,64,5,0,8,38,12,3,0,0.0,0.0,0.0,22.0,5,5,78.125,12.8,8.0,33.9622641509434,10.0,59.375,2023,2023,Rani,S Rani
106,Shemaine Alteia Campbelle,69,1232.0,West Indies,1412,68,19,101,633,493,103,5,0.0,6.0,9.0,90.0,69,69,87.25212464589235,20.764705882352942,11.766666666666667,57.86061588330632,18.11764705882353,44.830028328611895,2009/10,2024,Campbelle,S Campbelle
107,Sophie Devine,89,3660.0,New Zealand,2926,111,137,353,1060,1055,167,9,12.0,14.0,13.0,210.0,89,89,125.08544087491455,26.36036036036036,5.9714285714285715,61.80707114797032,32.972972972972975,36.22693096377307,2009,2024,Devine,S Devine
108,Sophia Dunkley,45,911.0,England,807,39,13,106,311,258,71,3,0.0,4.0,7.0,70.0,45,45,112.88723667905825,20.692307692307693,6.781512605042017,63.60808709175739,23.358974358974358,38.53779429987608,2018/19,2024,Dunkley,S Dunkley
109,Sarah Bryce,52,1694.0,Scotland,1632,53,17,182,638,561,132,13,2.0,9.0,9.0,130.0,52,52,103.79901960784315,30.79245283018868,8.201005025125628,64.28571428571429,31.962264150943398,39.09313725490196,2018,2024,Bryce,S Bryce
110,Shreyanka Patil,3,12.0,India,16,1,0,1,7,4,2,0,0.0,0.0,0.0,7.0,3,3,75.0,16.0,16.0,61.53846153846154,12.0,43.75,2023/24,2024,Patil,S Patil
