,bowler,innings,balls,runs,wkts,sixes,fours,dots,three_wicket_hauls,maiden_overs,fantasy_points,bbi,dot%,avg,fantasy_points_per_match,sr,econ
29,Anna Peterson,11,135,166,6,3,17,44,0.0,0.0,166,2,32.592592592592595,27.666666666666668,15.090909090909092,22.5,7.377777777777778
30,Annabel Sutherland,17,254,220,10,1,28,107,1.0,2.0,298,3,42.125984251968504,22.0,17.529411764705884,25.4,5.196850393700787
31,Anneke Bosch,8,98,122,6,2,13,33,0.0,1.0,160,2,33.6734693877551,20.333333333333332,20.0,16.333333333333332,7.469387755102041
32,Annerie Dercksen,5,46,44,2,0,7,19,0.0,0.0,62,2,41.30434782608695,22.0,12.4,23.0,5.739130434782608
33,Anuja Patil,24,445,428,23,9,32,168,3.0,7.0,697,3,37.752808988764045,18.608695652173914,29.041666666666668,19.347826086956523,5.770786516853932
34,Anya Shrubsole,51,733,592,50,14,63,388,8.0,41.0,1606,5,52.9331514324693,11.84,31.49019607843137,14.66,4.845839017735334
35,Arundhati Reddy,19,303,375,11,3,50,105,0.0,9.0,295,2,34.65346534653465,34.09090909090909,15.526315789473685,27.545454545454547,7.425742574257426
36,Ashleigh Gardner,55,764,793,36,13,85,317,1.0,23.0,1070,3,41.49214659685864,22.02777777777778,19.454545454545453,21.22222222222222,6.227748691099476
37,Ashmini Munisar,3,74,51,2,0,2,28,0.0,0.0,66,1,37.83783783783784,25.5,22.0,37.0,4.135135135135135
38,Asmavia Iqbal,32,496,428,29,7,38,213,2.0,2.0,915,4,42.943548387096776,14.758620689655173,28.59375,17.103448275862068,5.17741935483871
39,Ayanda Hlubi,1,25,14,2,0,1,14,0.0,0.0,56,2,56.00000000000001,7.0,56.0,12.5,3.36
40,BF Smith,4,56,47,2,0,5,23,0.0,0.0,72,1,41.07142857142857,23.5,18.0,28.0,5.035714285714286
41,BM Anusha,2,33,19,0,1,0,16,0.0,4.0,8,0,48.484848484848484,,4.0,,3.4545454545454546
42,Bismah Maroof,30,335,335,12,6,22,106,0.0,3.0,374,2,31.64179104477612,27.916666666666668,12.466666666666667,27.916666666666668,6.0
43,Brooke Halliday,4,45,47,1,0,5,15,0.0,0.0,33,1,33.33333333333333,47.0,8.25,45.0,6.266666666666667
44,C Wyngaard,1,6,8,0,0,2,4,0.0,0.0,0,0,66.66666666666666,,0.0,,8.0
45,C van der Westhuizen,1,25,11,1,0,1,19,0.0,6.0,39,1,76.0,11.0,39.0,25.0,2.64
46,CM Edwards,3,19,31,0,1,2,3,0.0,0.0,0,0,15.789473684210526,,0.0,,9.789473684210526
47,CM Scott,1,2,1,0,0,0,0,0.0,0.0,0,0,0.0,,0.0,,3.0
48,CR Seneviratna,5,68,64,4,1,5,30,0.0,2.0,126,2,44.11764705882353,16.0,25.2,17.0,5.647058823529412
49,CR Smith,2,25,26,0,1,1,8,0.0,0.0,2,0,32.0,,1.0,,6.24
50,CS Fraser,15,168,170,8,0,22,63,1.0,1.0,218,3,37.5,21.25,14.533333333333333,21.0,6.071428571428571
51,Chamari Athapaththu,42,596,628,24,7,61,207,2.0,9.0,776,4,34.73154362416108,26.166666666666668,18.476190476190474,24.833333333333332,6.322147651006712
52,Chandima Gunaratne,5,87,58,5,0,5,45,0.0,7.0,165,2,51.724137931034484,11.6,33.0,17.4,4.0
